Timestamp,Open,High,Low,Close,Volume
2025-03-14 04:00:00+00:00,0.85,0.93,0.78,0.91,1057400
2025-03-17 04:00:00+00:00,1.02,1.03,0.80,0.86,1337500
2025-03-18 04:00:00+00:00,0.83,1.06,0.79,0.96,1642500
2025-03-19 04:00:00+00:00,0.93,0.96,0.91,0.93,486500
2025-03-20 04:00:00+00:00,0.93,1.05,0.90,1.01,926000
2025-03-21 04:00:00+00:00,1.01,1.13,0.87,1.08,4385500
2025-03-24 04:00:00+00:00,1.20,1.21,0.88,0.95,4708500
2025-03-25 04:00:00+00:00,0.96,0.97,0.87,0.92,610200
2025-03-26 04:00:00+00:00,0.91,0.92,0.82,0.89,706500
2025-03-27 04:00:00+00:00,0.89,0.91,0.85,0.90,304300
2025-03-28 04:00:00+00:00,0.86,0.92,0.82,0.90,444000
2025-03-31 04:00:00+00:00,0.89,0.89,0.81,0.85,242400
2025-04-01 04:00:00+00:00,0.83,0.85,0.78,0.80,337400
2025-04-02 04:00:00+00:00,0.80,0.80,0.71,0.78,387000
2025-04-03 04:00:00+00:00,0.75,0.77,0.72,0.74,353300
2025-04-04 04:00:00+00:00,0.73,0.73,0.64,0.67,481300
2025-04-07 04:00:00+00:00,0.62,0.67,0.60,0.67,410100
2025-04-08 04:00:00+00:00,0.68,0.69,0.65,0.66,198500
2025-04-09 04:00:00+00:00,0.65,0.68,0.60,0.65,422500
2025-04-10 04:00:00+00:00,0.65,0.66,0.62,0.65,240500
2025-04-11 04:00:00+00:00,0.64,0.70,0.64,0.69,316100
2025-04-14 04:00:00+00:00,0.71,0.73,0.70,0.71,302200
2025-04-15 04:00:00+00:00,0.73,0.76,0.71,0.75,181400
2025-04-16 04:00:00+00:00,0.76,0.81,0.74,0.78,254300
2025-04-17 04:00:00+00:00,0.77,0.85,0.77,0.82,215700
2025-04-21 04:00:00+00:00,0.80,0.84,0.74,0.76,231000
2025-04-22 04:00:00+00:00,0.77,0.79,0.74,0.77,241900
2025-04-23 04:00:00+00:00,0.78,0.80,0.73,0.73,274400
2025-04-24 04:00:00+00:00,0.75,0.80,0.74,0.79,142000
2025-04-25 04:00:00+00:00,0.80,0.84,0.80,0.82,175200
2025-04-28 04:00:00+00:00,0.82,0.84,0.78,0.83,165500
2025-04-29 04:00:00+00:00,0.82,0.85,0.81,0.84,185100
2025-04-30 04:00:00+00:00,0.84,0.86,0.81,0.83,197600
2025-05-01 04:00:00+00:00,0.82,0.92,0.82,0.92,527100
2025-05-02 04:00:00+00:00,0.93,0.94,0.88,0.90,216300
2025-05-05 04:00:00+00:00,0.88,0.91,0.82,0.88,307000
2025-05-06 04:00:00+00:00,0.89,0.93,0.82,0.83,432300
2025-05-07 04:00:00+00:00,0.81,0.85,0.73,0.73,388900
