TimestampUtc,Bid,Ask,BidSize,AskSize,SpreadBps
2026-04-21 13:30:00.208Z,1.1059,1.1141,100,100,73.9
2026-04-21 13:30:01.027Z,1.1051,1.1151,125,100,90.1
2026-04-21 13:30:02.143Z,1.1055,1.1145,100,164,81.1
2026-04-21 13:30:03.707Z,1.1051,1.1149,100,100,88.3
2026-04-21 13:30:04.220Z,1.1057,1.1147,165,100,81.1
2026-04-21 13:30:05.130Z,1.1046,1.1156,100,277,99.1
2026-04-21 13:30:06.186Z,1.1046,1.1158,109,100,100.9
2026-04-21 13:30:07.519Z,1.1050,1.1154,100,102,93.7
2026-04-21 13:30:08.624Z,1.1054,1.1148,100,262,84.7
2026-04-21 13:30:09.898Z,1.1039,1.1157,100,100,106.3
2026-04-21 13:30:10.856Z,1.1050,1.1146,100,100,86.5
2026-04-21 13:30:11.190Z,1.1052,1.1144,250,318,82.9
2026-04-21 13:30:12.160Z,1.1058,1.1148,218,107,81.1
2026-04-21 13:30:13.843Z,1.1044,1.1152,153,278,97.3
2026-04-21 13:30:14.839Z,1.1055,1.1147,154,100,82.9
2026-04-21 13:30:15.260Z,1.1043,1.1157,100,102,102.7
2026-04-21 13:30:16.262Z,1.1046,1.1150,100,304,93.7
2026-04-21 13:30:17.659Z,1.1046,1.1150,100,100,93.7
2026-04-21 13:30:18.607Z,1.1042,1.1158,222,151,104.5
2026-04-21 13:30:19.602Z,1.1049,1.1151,100,163,91.9
2026-04-21 13:30:20.235Z,1.1056,1.1156,100,100,90.0
2026-04-21 13:30:21.173Z,1.1064,1.1146,100,100,73.8
2026-04-21 13:30:22.878Z,1.1060,1.1162,100,100,91.8
2026-04-21 13:30:23.591Z,1.1073,1.1159,100,100,77.4
2026-04-21 13:30:24.748Z,1.1060,1.1180,126,100,107.9
2026-04-21 13:30:25.005Z,1.1075,1.1177,110,100,91.7
2026-04-21 13:30:26.639Z,1.1081,1.1187,100,100,95.2
2026-04-21 13:30:27.289Z,1.1088,1.1198,120,100,98.7
2026-04-21 13:30:28.530Z,1.1088,1.1210,114,100,109.4
2026-04-21 13:30:29.132Z,1.1114,1.1204,176,100,80.7
2026-04-21 13:30:30.433Z,1.1122,1.1206,100,100,75.2
2026-04-21 13:30:31.067Z,1.1125,1.1223,100,100,87.7
2026-04-21 13:30:32.439Z,1.1132,1.1224,100,100,82.3
2026-04-21 13:30:33.818Z,1.1127,1.1235,100,100,96.6
2026-04-21 13:30:34.799Z,1.1128,1.1248,149,100,107.3
2026-04-21 13:30:35.529Z,1.1134,1.1248,100,100,101.9
2026-04-21 13:30:36.039Z,1.1140,1.1258,101,100,105.4
2026-04-21 13:30:37.211Z,1.1150,1.1250,360,217,89.3
2026-04-21 13:30:38.645Z,1.1146,1.1254,120,136,96.4
2026-04-21 13:30:39.746Z,1.1145,1.1255,329,325,98.2
2026-04-21 13:30:40.463Z,1.1150,1.1246,149,207,85.7
2026-04-21 13:30:41.699Z,1.1144,1.1246,100,100,91.1
2026-04-21 13:30:42.571Z,1.1136,1.1250,100,100,101.8
2026-04-21 13:30:43.804Z,1.1141,1.1235,100,139,84.0
2026-04-21 13:30:44.843Z,1.1142,1.1234,100,100,82.2
2026-04-21 13:30:45.702Z,1.1146,1.1228,130,168,73.3
2026-04-21 13:30:46.005Z,1.1135,1.1235,100,141,89.4
2026-04-21 13:30:47.610Z,1.1140,1.1230,106,100,80.5
2026-04-21 13:30:48.252Z,1.1138,1.1230,100,100,82.3
2026-04-21 13:30:49.554Z,1.1140,1.1240,173,100,89.4
2026-04-21 13:30:50.705Z,1.1134,1.1244,100,202,98.3
2026-04-21 13:30:51.819Z,1.1132,1.1252,101,100,107.2
2026-04-21 13:30:52.807Z,1.1146,1.1232,100,105,76.9
2026-04-21 13:30:53.242Z,1.1136,1.1246,182,109,98.3
2026-04-21 13:30:54.087Z,1.1138,1.1254,107,100,103.6
2026-04-21 13:30:55.588Z,1.1154,1.1238,113,193,75.0
2026-04-21 13:30:56.236Z,1.1148,1.1244,100,100,85.7
2026-04-21 13:30:57.253Z,1.1139,1.1261,112,100,108.9
2026-04-21 13:30:58.736Z,1.1151,1.1251,253,146,89.3
2026-04-21 13:30:59.408Z,1.1146,1.1254,100,189,96.4
2026-04-21 13:31:00.688Z,1.1050,1.1170,100,100,108.0
2026-04-21 13:31:01.803Z,1.1059,1.1167,100,100,97.2
2026-04-21 13:31:02.613Z,1.1058,1.1168,100,100,99.0
2026-04-21 13:31:03.375Z,1.1054,1.1162,100,100,97.2
2026-04-21 13:31:04.511Z,1.1059,1.1163,100,100,93.6
2026-04-21 13:31:05.026Z,1.1069,1.1151,100,100,73.8
2026-04-21 13:31:06.568Z,1.1063,1.1161,100,100,88.2
