TimestampUtc,Bid,Ask,BidSize,AskSize,SpreadBps
2026-04-21 13:30:00.770Z,2.7353,2.7447,432,399,34.3
2026-04-21 13:30:01.754Z,2.7355,2.7453,426,304,35.8
2026-04-21 13:30:02.742Z,2.7356,2.7438,184,554,29.9
2026-04-21 13:30:03.414Z,2.7343,2.7463,337,204,43.8
2026-04-21 13:30:04.576Z,2.7342,2.7454,114,192,40.9
2026-04-21 13:30:05.080Z,2.7346,2.7468,413,219,44.5
2026-04-21 13:30:06.422Z,2.7340,2.7454,134,197,41.6
2026-04-21 13:30:07.677Z,2.7341,2.7463,463,253,44.5
2026-04-21 13:30:08.503Z,2.7343,2.7449,123,480,38.7
2026-04-21 13:30:09.544Z,2.7340,2.7454,270,145,41.6
2026-04-21 13:30:10.507Z,2.7356,2.7448,173,100,33.6
2026-04-21 13:30:11.096Z,2.7349,2.7457,758,418,39.4
2026-04-21 13:30:12.846Z,2.7341,2.7455,396,1073,41.6
2026-04-21 13:30:13.671Z,2.7351,2.7441,279,616,32.9
2026-04-21 13:30:14.528Z,2.7352,2.7448,221,129,35.0
2026-04-21 13:30:15.149Z,2.7348,2.7454,246,111,38.7
2026-04-21 13:30:16.796Z,2.7359,2.7451,395,149,33.6
2026-04-21 13:30:17.014Z,2.7347,2.7449,206,542,37.2
2026-04-21 13:30:18.552Z,2.7359,2.7453,522,499,34.3
2026-04-21 13:30:19.311Z,2.7360,2.7450,148,257,32.8
2026-04-21 13:30:20.525Z,2.7367,2.7453,221,100,31.4
2026-04-21 13:30:21.289Z,2.7375,2.7471,426,117,35.0
2026-04-21 13:30:22.771Z,2.7396,2.7486,156,174,32.8
2026-04-21 13:30:23.559Z,2.7412,2.7512,191,150,36.4
2026-04-21 13:30:24.448Z,2.7431,2.7553,319,127,44.4
2026-04-21 13:30:25.819Z,2.7464,2.7578,177,100,41.4
2026-04-21 13:30:26.268Z,2.7497,2.7595,224,175,35.6
2026-04-21 13:30:27.767Z,2.7515,2.7617,305,261,37.0
2026-04-21 13:30:28.296Z,2.7536,2.7652,292,140,42.0
2026-04-21 13:30:29.610Z,2.7568,2.7698,149,198,47.0
2026-04-21 13:30:30.445Z,2.7608,2.7718,308,118,39.8
2026-04-21 13:30:31.396Z,2.7635,2.7727,223,201,33.2
2026-04-21 13:30:32.273Z,2.7660,2.7756,176,118,34.6
2026-04-21 13:30:33.134Z,2.7681,2.7783,427,249,36.8
2026-04-21 13:30:34.683Z,2.7707,2.7811,315,100,37.5
2026-04-21 13:30:35.124Z,2.7730,2.7820,164,100,32.4
2026-04-21 13:30:36.648Z,2.7738,2.7844,327,190,38.1
2026-04-21 13:30:37.514Z,2.7742,2.7836,503,880,33.8
2026-04-21 13:30:38.818Z,2.7743,2.7845,651,478,36.7
2026-04-21 13:30:39.168Z,2.7743,2.7847,886,398,37.4
2026-04-21 13:30:40.878Z,2.7734,2.7846,420,601,40.3
2026-04-21 13:30:41.468Z,2.7731,2.7839,205,353,38.9
2026-04-21 13:30:42.283Z,2.7706,2.7826,100,239,43.2
2026-04-21 13:30:43.297Z,2.7699,2.7815,208,379,41.8
2026-04-21 13:30:44.443Z,2.7702,2.7792,102,315,32.4
2026-04-21 13:30:45.377Z,2.7680,2.7784,347,599,37.5
2026-04-21 13:30:46.802Z,2.7681,2.7769,319,573,31.7
2026-04-21 13:30:47.653Z,2.7673,2.7789,195,122,41.8
2026-04-21 13:30:48.057Z,2.7664,2.7774,110,150,39.7
2026-04-21 13:30:49.429Z,2.7652,2.7758,146,277,38.3
2026-04-21 13:30:50.762Z,2.7660,2.7748,177,399,31.8
2026-04-21 13:30:51.065Z,2.7648,2.7738,131,427,32.5
2026-04-21 13:30:52.316Z,2.7609,2.7739,149,301,47.0
2026-04-21 13:30:53.642Z,2.7621,2.7707,216,273,31.1
2026-04-21 13:30:54.868Z,2.7581,2.7707,151,244,45.6
2026-04-21 13:30:55.033Z,2.7585,2.7673,120,344,31.9
2026-04-21 13:30:56.572Z,2.7565,2.7673,217,605,39.1
2026-04-21 13:30:57.759Z,2.7566,2.7662,179,429,34.8
2026-04-21 13:30:58.742Z,2.7558,2.7656,199,301,35.5
2026-04-21 13:30:59.718Z,2.7551,2.7649,319,782,35.5
2026-04-21 13:31:00.144Z,2.7457,2.7543,100,100,31.3
2026-04-21 13:31:01.809Z,2.7450,2.7558,100,100,39.3
2026-04-21 13:31:02.556Z,2.7461,2.7543,100,117,29.8
2026-04-21 13:31:03.187Z,2.7446,2.7552,100,100,38.5
2026-04-21 13:31:04.187Z,2.7456,2.7544,100,100,32.0
2026-04-21 13:31:05.393Z,2.7454,2.7554,100,100,36.4
2026-04-21 13:31:06.234Z,2.7450,2.7558,100,100,39.3
2026-04-21 13:31:07.714Z,2.7455,2.7547,100,100,33.5
2026-04-21 13:31:08.394Z,2.7444,2.7560,100,100,42.2
2026-04-21 13:31:09.665Z,2.7450,2.7544,100,100,34.2
2026-04-21 13:31:10.412Z,2.7451,2.7551,100,100,36.4
2026-04-21 13:31:11.523Z,2.7440,2.7556,100,178,42.2
2026-04-21 13:31:12.191Z,2.7459,2.7541,106,100,29.8
2026-04-21 13:31:13.252Z,2.7455,2.7553,100,100,35.6
