TimestampUtc,Bid,Ask,BidSize,AskSize,SpreadBps
2026-04-21 13:30:00.390Z,0.7566,0.7614,459,357,63.2
2026-04-21 13:30:01.638Z,0.7567,0.7611,369,922,58.0
2026-04-21 13:30:02.238Z,0.7570,0.7610,1171,844,52.7
2026-04-21 13:30:03.496Z,0.7567,0.7613,631,319,60.6
2026-04-21 13:30:04.125Z,0.7565,0.7619,589,399,71.1
2026-04-21 13:30:05.143Z,0.7564,0.7618,378,832,71.1
2026-04-21 13:30:06.607Z,0.7565,0.7617,387,262,68.5
2026-04-21 13:30:07.105Z,0.7563,0.7619,305,324,73.8
2026-04-21 13:30:08.887Z,0.7564,0.7612,238,740,63.3
2026-04-21 13:30:09.740Z,0.7564,0.7614,587,221,65.9
2026-04-21 13:30:10.264Z,0.7569,0.7609,418,302,52.7
2026-04-21 13:30:11.179Z,0.7562,0.7614,665,1548,68.5
2026-04-21 13:30:12.435Z,0.7567,0.7611,1158,978,58.0
2026-04-21 13:30:13.848Z,0.7563,0.7617,2382,801,71.1
2026-04-21 13:30:14.165Z,0.7567,0.7609,176,393,55.4
2026-04-21 13:30:15.555Z,0.7567,0.7611,263,281,58.0
2026-04-21 13:30:16.117Z,0.7561,0.7617,1279,1100,73.8
2026-04-21 13:30:17.263Z,0.7567,0.7609,660,959,55.4
2026-04-21 13:30:18.156Z,0.7562,0.7616,370,254,71.2
2026-04-21 13:30:19.164Z,0.7561,0.7617,442,422,73.8
2026-04-21 13:30:20.680Z,0.7568,0.7614,492,337,60.6
2026-04-21 13:30:21.660Z,0.7561,0.7617,188,461,73.8
2026-04-21 13:30:22.372Z,0.7563,0.7619,378,186,73.8
2026-04-21 13:30:23.159Z,0.7564,0.7612,254,524,63.3
2026-04-21 13:30:24.534Z,0.7563,0.7615,506,406,68.5
2026-04-21 13:30:25.684Z,0.7569,0.7611,461,359,55.3
2026-04-21 13:30:26.767Z,0.7559,0.7619,247,355,79.1
2026-04-21 13:30:27.566Z,0.7566,0.7612,605,464,60.6
2026-04-21 13:30:28.670Z,0.7565,0.7613,171,143,63.2
2026-04-21 13:30:29.747Z,0.7564,0.7612,178,355,63.3
2026-04-21 13:30:30.589Z,0.7570,0.7614,777,271,58.0
2026-04-21 13:30:31.034Z,0.7569,0.7611,264,396,55.3
2026-04-21 13:30:32.517Z,0.7568,0.7612,371,314,58.0
2026-04-21 13:30:33.354Z,0.7566,0.7614,381,541,63.2
2026-04-21 13:30:34.662Z,0.7564,0.7616,460,366,68.5
2026-04-21 13:30:35.711Z,0.7564,0.7612,359,424,63.3
2026-04-21 13:30:36.713Z,0.7562,0.7618,420,159,73.8
2026-04-21 13:30:37.422Z,0.7570,0.7610,613,865,52.7
2026-04-21 13:30:38.846Z,0.7562,0.7616,422,691,71.2
2026-04-21 13:30:39.858Z,0.7566,0.7618,603,318,68.5
2026-04-21 13:30:40.567Z,0.7568,0.7612,450,1512,58.0
2026-04-21 13:30:41.604Z,0.7560,0.7618,319,522,76.4
2026-04-21 13:30:42.454Z,0.7568,0.7612,289,302,58.0
2026-04-21 13:30:43.865Z,0.7567,0.7615,763,555,63.2
2026-04-21 13:30:44.480Z,0.7560,0.7620,516,774,79.1
2026-04-21 13:30:45.311Z,0.7570,0.7610,608,878,52.7
2026-04-21 13:30:46.078Z,0.7570,0.7610,709,1004,52.7
2026-04-21 13:30:47.037Z,0.7567,0.7613,882,827,60.6
