TimestampUtc,Bid,Ask,BidSize,AskSize,SpreadBps
2026-03-09 13:30:00.517Z,5.6707,5.6893,300,165,32.7
2026-03-09 13:30:01.440Z,5.6711,5.6905,297,143,34.2
2026-03-09 13:30:02.176Z,5.6707,5.6881,100,419,30.6
2026-03-09 13:30:03.772Z,5.6697,5.6893,298,140,34.5
2026-03-09 13:30:04.661Z,5.6703,5.6875,189,365,30.3
2026-03-09 13:30:05.540Z,5.6674,5.6910,177,117,41.6
2026-03-09 13:30:06.088Z,5.6689,5.6915,186,100,39.8
2026-03-09 13:30:07.402Z,5.6712,5.6900,316,165,33.1
2026-03-09 13:30:08.814Z,5.6707,5.6887,109,184,31.7
2026-03-09 13:30:09.623Z,5.6695,5.6923,135,166,40.1
2026-03-09 13:30:10.629Z,5.6714,5.6900,100,157,32.7
2026-03-09 13:30:11.403Z,5.6687,5.6903,223,489,38.0
2026-03-09 13:30:12.500Z,5.6703,5.6869,174,350,29.2
2026-03-09 13:30:13.398Z,5.6708,5.6912,791,351,35.9
2026-03-09 13:30:14.469Z,5.6690,5.6894,100,107,35.9
2026-03-09 13:30:15.480Z,5.6677,5.6909,234,152,40.9
2026-03-09 13:30:16.746Z,5.6680,5.6914,335,166,41.2
2026-03-09 13:30:17.708Z,5.6690,5.6884,147,351,34.2
2026-03-09 13:30:18.752Z,5.6722,5.6898,479,201,31.0
2026-03-09 13:30:19.787Z,5.6677,5.6919,272,270,42.6
2026-03-09 13:30:20.259Z,5.6670,5.6904,100,108,41.2
2026-03-09 13:30:21.225Z,5.6657,5.6865,100,201,36.6
2026-03-09 13:30:22.501Z,5.6595,5.6853,100,141,45.5
2026-03-09 13:30:23.605Z,5.6566,5.6796,100,296,40.6
2026-03-09 13:30:24.067Z,5.6525,5.6777,100,235,44.5
2026-03-09 13:30:25.395Z,5.6488,5.6734,106,227,43.5
2026-03-09 13:30:26.542Z,5.6418,5.6686,114,202,47.4
2026-03-09 13:30:27.890Z,5.6380,5.6598,100,232,38.6
2026-03-09 13:30:28.301Z,5.6337,5.6537,130,241,35.4
2026-03-09 13:30:29.792Z,5.6294,5.6520,100,199,40.1
2026-03-09 13:30:30.258Z,5.6234,5.6492,100,213,45.8
2026-03-09 13:30:31.322Z,5.6179,5.6419,100,273,42.6
2026-03-09 13:30:32.415Z,5.6120,5.6376,100,155,45.5
2026-03-09 13:30:33.581Z,5.6112,5.6318,100,159,36.6
2026-03-09 13:30:34.294Z,5.6055,5.6281,100,149,40.2
2026-03-09 13:30:35.773Z,5.6069,5.6237,100,100,29.9
2026-03-09 13:30:36.735Z,5.6038,5.6232,100,213,34.6
2026-03-09 13:30:37.625Z,5.6005,5.6229,251,293,39.9
2026-03-09 13:30:38.358Z,5.6013,5.6203,163,309,33.9
2026-03-09 13:30:39.439Z,5.5976,5.6204,100,251,40.6
2026-03-09 13:30:40.442Z,5.6009,5.6227,366,393,38.8
2026-03-09 13:30:41.678Z,5.6030,5.6228,158,100,35.3
2026-03-09 13:30:42.311Z,5.6064,5.6242,159,100,31.7
2026-03-09 13:30:43.129Z,5.6060,5.6298,282,112,42.4
2026-03-09 13:30:44.875Z,5.6091,5.6325,120,149,41.6
2026-03-09 13:30:45.893Z,5.6145,5.6335,172,150,33.8
2026-03-09 13:30:46.121Z,5.6127,5.6357,244,196,40.9
2026-03-09 13:30:47.240Z,5.6160,5.6338,256,149,31.6
2026-03-09 13:30:48.247Z,5.6131,5.6365,100,156,41.6
2026-03-09 13:30:49.267Z,5.6155,5.6351,113,100,34.8
2026-03-09 13:30:50.623Z,5.6165,5.6433,340,189,47.6
2026-03-09 13:30:51.686Z,5.6204,5.6410,216,159,36.6
2026-03-09 13:30:52.506Z,5.6246,5.6438,196,203,34.1
2026-03-09 13:30:53.448Z,5.6277,5.6451,301,182,30.9
2026-03-09 13:30:54.857Z,5.6291,5.6519,146,100,40.4
2026-03-09 13:30:55.048Z,5.6334,5.6510,147,107,31.2
2026-03-09 13:30:56.509Z,5.6323,5.6553,299,118,40.8
2026-03-09 13:30:57.122Z,5.6349,5.6605,221,172,45.3
2026-03-09 13:30:58.658Z,5.6362,5.6596,355,200,41.4
2026-03-09 13:30:59.069Z,5.6366,5.6594,245,100,40.4
2026-03-09 13:31:00.448Z,5.6229,5.6417,100,100,33.4
2026-03-09 13:31:01.058Z,5.6242,5.6412,100,100,30.2
2026-03-09 13:31:02.067Z,5.6220,5.6438,100,100,38.7
2026-03-09 13:31:03.888Z,5.6214,5.6410,100,100,34.8
2026-03-09 13:31:04.569Z,5.6239,5.6405,100,100,29.5
2026-03-09 13:31:05.231Z,5.6214,5.6428,100,100,38.0
2026-03-09 13:31:06.257Z,5.6239,5.6405,100,100,29.5
2026-03-09 13:31:07.090Z,5.6209,5.6451,100,100,43.0
2026-03-09 13:31:08.325Z,5.6243,5.6411,100,100,29.8
2026-03-09 13:31:09.787Z,5.6220,5.6404,100,100,32.7
2026-03-09 13:31:10.834Z,5.6221,5.6429,100,100,36.9
2026-03-09 13:31:11.435Z,5.6233,5.6413,100,100,32.0
2026-03-09 13:31:12.362Z,5.6217,5.6401,100,170,32.7
2026-03-09 13:31:13.895Z,5.6229,5.6435,100,100,36.6
2026-03-09 13:31:14.021Z,5.6231,5.6431,100,100,35.5
2026-03-09 13:31:15.488Z,5.6192,5.6428,100,100,41.9
2026-03-09 13:31:16.026Z,5.6210,5.6408,100,100,35.2
2026-03-09 13:31:17.684Z,5.6223,5.6407,147,100,32.7
2026-03-09 13:31:18.775Z,5.6241,5.6409,116,100,29.8
2026-03-09 13:31:19.125Z,5.6226,5.6430,100,100,36.2
2026-03-09 13:31:20.403Z,5.6208,5.6384,100,100,31.3
2026-03-09 13:31:21.392Z,5.6171,5.6393,100,100,39.4
2026-03-09 13:31:22.611Z,5.6159,5.6389,100,100,40.9
2026-03-09 13:31:23.831Z,5.6131,5.6351,100,100,39.1
2026-03-09 13:31:24.656Z,5.6141,5.6339,100,100,35.2
2026-03-09 13:31:25.869Z,5.6097,5.6329,100,100,41.3
2026-03-09 13:31:26.005Z,5.6064,5.6270,100,100,36.7
2026-03-09 13:31:27.891Z,5.6018,5.6254,100,100,42.0
2026-03-09 13:31:28.066Z,5.5985,5.6223,100,100,42.4
2026-03-09 13:31:29.036Z,5.5979,5.6167,100,100,33.5
2026-03-09 13:31:30.531Z,5.5932,5.6154,100,100,39.6
2026-03-09 13:31:31.879Z,5.5896,5.6124,100,100,40.7
2026-03-09 13:31:32.646Z,5.5899,5.6107,100,100,37.1
2026-03-09 13:31:33.323Z,5.5858,5.6096,100,100,42.5
2026-03-09 13:31:34.164Z,5.5841,5.6081,100,100,42.9
2026-03-09 13:31:35.874Z,5.5837,5.6039,100,100,36.1
2026-03-09 13:31:36.700Z,5.5811,5.6009,100,100,35.4
2026-03-09 13:31:37.378Z,5.5808,5.6006,100,154,35.4
2026-03-09 13:31:38.318Z,5.5802,5.6008,100,100,36.8
2026-03-09 13:31:39.458Z,5.5782,5.6020,100,173,42.6
2026-03-09 13:31:40.230Z,5.5795,5.6039,100,100,43.6
2026-03-09 13:31:41.625Z,5.5807,5.6055,100,100,44.3
2026-03-09 13:31:42.539Z,5.5849,5.6053,100,100,36.5
