Timestamp,Open,High,Low,Close,Volume
2025-03-14 04:00:00+00:00,0.38,0.49,0.35,0.45,1220800
2025-03-17 04:00:00+00:00,0.44,0.52,0.42,0.49,866900
2025-03-18 04:00:00+00:00,0.51,0.51,0.45,0.49,335000
2025-03-19 04:00:00+00:00,0.49,0.56,0.46,0.54,413000
2025-03-20 04:00:00+00:00,0.55,0.63,0.50,0.62,11162400
2025-03-21 04:00:00+00:00,0.59,0.68,0.59,0.62,1117400
2025-03-24 04:00:00+00:00,0.60,0.61,0.56,0.58,711600
2025-03-25 04:00:00+00:00,0.59,0.59,0.54,0.56,711600
2025-03-26 04:00:00+00:00,0.54,0.55,0.48,0.50,431300
2025-03-27 04:00:00+00:00,0.52,0.57,0.50,0.54,280600
2025-03-28 04:00:00+00:00,0.53,0.54,0.48,0.51,575800
2025-03-31 04:00:00+00:00,0.51,0.51,0.47,0.48,535000
2025-04-01 04:00:00+00:00,0.49,0.53,0.48,0.50,579800
2025-04-02 04:00:00+00:00,0.51,0.53,0.48,0.48,301000
2025-04-03 04:00:00+00:00,0.49,0.49,0.43,0.47,473900
2025-04-04 04:00:00+00:00,0.42,0.44,0.39,0.41,483700
2025-04-07 04:00:00+00:00,0.42,0.49,0.42,0.46,356800
2025-04-08 04:00:00+00:00,0.47,0.54,0.46,0.51,490100
2025-04-09 04:00:00+00:00,0.51,0.53,0.46,0.53,335000
2025-04-10 04:00:00+00:00,0.51,0.51,0.47,0.50,242100
2025-04-11 04:00:00+00:00,0.50,0.51,0.47,0.51,181600
2025-04-14 04:00:00+00:00,0.51,0.51,0.45,0.47,373800
2025-04-15 04:00:00+00:00,0.46,0.49,0.46,0.46,131000
2025-04-16 04:00:00+00:00,0.47,0.49,0.44,0.48,208000
2025-04-17 04:00:00+00:00,0.48,0.48,0.46,0.47,76400
2025-04-21 04:00:00+00:00,0.47,0.49,0.47,0.47,141400
2025-04-22 04:00:00+00:00,0.49,0.49,0.44,0.47,313500
2025-04-23 04:00:00+00:00,0.47,0.48,0.44,0.47,505700
2025-04-24 04:00:00+00:00,0.47,0.51,0.45,0.50,490100
2025-04-25 04:00:00+00:00,0.50,0.51,0.46,0.49,223800
2025-04-28 04:00:00+00:00,0.48,0.48,0.44,0.46,274700
2025-04-29 04:00:00+00:00,0.47,0.48,0.42,0.43,423500
2025-04-30 04:00:00+00:00,0.43,0.43,0.40,0.42,260400
2025-05-01 04:00:00+00:00,0.42,0.47,0.40,0.45,469300
2025-05-02 04:00:00+00:00,0.45,0.45,0.41,0.43,319700
2025-05-05 04:00:00+00:00,0.41,0.42,0.40,0.41,321000
2025-05-06 04:00:00+00:00,0.41,0.45,0.39,0.42,663700
2025-05-07 04:00:00+00:00,0.42,0.44,0.39,0.41,189700
2025-05-08 04:00:00+00:00,0.41,0.43,0.40,0.41,208200
2025-05-09 04:00:00+00:00,0.42,0.42,0.40,0.41,219700
2025-05-12 04:00:00+00:00,0.41,0.41,0.38,0.41,314700
2025-05-13 04:00:00+00:00,0.40,0.41,0.38,0.39,350600
2025-05-14 04:00:00+00:00,0.39,0.40,0.36,0.38,379600
2025-05-15 04:00:00+00:00,0.38,0.40,0.35,0.39,299700
2025-05-16 04:00:00+00:00,0.40,0.43,0.39,0.40,443400
2025-05-19 04:00:00+00:00,0.39,0.40,0.37,0.38,265200
2025-05-20 04:00:00+00:00,0.37,0.38,0.35,0.36,3537100
2025-05-21 04:00:00+00:00,0.38,0.40,0.36,0.37,7933700
2025-05-22 04:00:00+00:00,0.36,0.38,0.36,0.36,1062900
2025-05-23 04:00:00+00:00,0.37,0.43,0.36,0.41,1560400
2025-05-27 04:00:00+00:00,0.40,0.40,0.37,0.38,576700
