TimestampUtc,Bid,Ask,BidSize,AskSize,SpreadBps
2026-03-12 19:08:25.412Z,3.8960,3.9040,100,100,20.5
2026-03-12 19:08:26.603Z,3.8933,3.9053,100,100,30.8
2026-03-12 19:08:27.379Z,3.8957,3.9043,100,100,22.1
2026-03-12 19:08:28.450Z,3.8946,3.9040,100,100,24.1
2026-03-12 19:08:29.570Z,3.8945,3.9051,100,100,27.2
2026-03-12 19:08:30.260Z,3.8937,3.9053,100,100,29.7
2026-03-12 19:08:31.079Z,3.8943,3.9039,100,100,24.6
2026-03-12 19:08:32.883Z,3.8958,3.9058,100,100,25.6
2026-03-12 19:08:33.829Z,3.8958,3.9054,100,100,24.6
2026-03-12 19:08:34.564Z,3.8956,3.9042,100,100,22.1
2026-03-12 19:08:35.135Z,3.8961,3.9041,100,100,20.5
2026-03-12 19:08:36.801Z,3.8965,3.9049,100,100,21.5
2026-03-12 19:08:37.733Z,3.8941,3.9063,100,100,31.3
2026-03-12 19:08:38.079Z,3.8954,3.9052,100,100,25.1
2026-03-12 19:08:39.157Z,3.8957,3.9045,100,100,22.6
2026-03-12 19:08:40.220Z,3.8948,3.9054,100,100,27.2
2026-03-12 19:08:41.174Z,3.8937,3.9045,100,100,27.7
2026-03-12 19:08:42.077Z,3.8957,3.9063,100,100,27.2
2026-03-12 19:08:43.832Z,3.8935,3.9059,100,100,31.8
2026-03-12 19:08:44.847Z,3.8939,3.9053,100,100,29.2
2026-03-12 19:08:45.149Z,3.8954,3.9058,100,100,26.7
2026-03-12 19:08:46.890Z,3.8955,3.9075,100,100,30.8
2026-03-12 19:08:47.213Z,3.8969,3.9055,100,100,22.0
2026-03-12 19:08:48.240Z,3.8975,3.9075,100,100,25.6
2026-03-12 19:08:49.595Z,3.8965,3.9065,100,100,25.6
2026-03-12 19:08:50.254Z,3.8973,3.9093,100,100,30.7
2026-03-12 19:08:51.383Z,3.8976,3.9092,100,100,29.7
2026-03-12 19:08:52.658Z,3.8984,3.9108,100,100,31.8
2026-03-12 19:08:53.181Z,3.8997,3.9101,100,100,26.6
2026-03-12 19:08:54.747Z,3.9006,3.9122,100,100,29.7
2026-03-12 19:08:55.543Z,3.9015,3.9123,100,100,27.6
2026-03-12 19:08:56.715Z,3.9026,3.9120,100,100,24.1
2026-03-12 19:08:57.217Z,3.9027,3.9109,100,100,21.0
2026-03-12 19:08:58.297Z,3.9031,3.9129,100,100,25.1
2026-03-12 19:08:59.291Z,3.9038,3.9148,100,100,28.1
2026-03-12 19:09:00.072Z,3.9033,3.9151,100,100,30.2
2026-03-12 19:09:01.527Z,3.9043,3.9139,100,100,24.6
